Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total
2021,HYUNDAI,ACCENT,20/12/2023 3:00,Abha,21/12/2023 3:00,0,6288,2394,8682
2020,HYUNDAI,SONATA,20/12/2023 3:00,Abha,21/12/2023 3:00,0,3527,2011,5538
2023,MAZDA,6 High Plus,21/12/2023 3:00,Abha,24/12/2023 3:00,0,96,4000,4096
2021,KIA,CADENZA,24/12/2023 3:00,Abha,25/12/2023 3:00,0,18658,3800,22458
2023,HYUNDAI,ELANTRA,17/11/2023 3:00,Abha,26/12/2023 3:00,0,7060,3000,10060
2022,HYUNDAI,ELANTRA,24/12/2023 3:00,Abha,27/12/2023 3:00,0,819,1000,1819
2021,LEXUS,ES,26/12/2023 3:00,Abha,27/12/2023 3:00,0,2268,1800,4068
2020,TOYOTA,Land Cruiser LX V6,27/12/2023 3:00,Abha,28/12/2023 3:00,0,1840,216,2056
2019,HYUNDAI,ELANTRA,31/12/2023 3:00,Abha,31/12/2023 3:00,0,730,600,1330
2023,TOYOTA,YARIS,28/12/2023 3:00,Abha,31/12/2023 3:00,0,5320,4600,9920
2024,MAZDA,CX 5,01/01/2024 3:00,Abha,02/01/2024 3:00,0,1048,800,1848
2020,TOYOTA,CAMRY,03/01/2024 3:00,Abha,04/01/2024 3:00,0,7099,1316,8415
2020,HYUNDAI,SONATA,31/10/2023 3:00,Abha,04/01/2024 3:00,600,1982,2200,4782
2020,HYUNDAI,ELANTRA,03/01/2024 3:00,Abha,06/01/2024 3:00,0,6094,1834,7928
2016,NISSAN,PICKUP 2C,04/01/2024 3:00,Abha,06/01/2024 3:00,0,2337,663,3000
2020,FORD,TAURUS,04/01/2024 3:00,Abha,06/01/2024 3:00,0,2088,1026,3114
2023,TOYOTA,RUSH,08/01/2024 3:00,Abha,09/01/2024 3:00,0,6685,2300,8985
2017,MAZDA,6,02/01/2024 3:00,Abha,10/01/2024 3:00,0,5030,2000,7030
2016,KIA,CERATO,07/01/2024 3:00,Abha,10/01/2024 3:00,0,1918,1307,3225
2023,MAZDA,CX 9,09/01/2024 3:00,Abha,10/01/2024 3:00,0,16205,5200,21405
2023,ISUZU,D-MAX,08/01/2024 3:00,Abha,10/01/2024 3:00,0,470,1500,1970
2020,KIA,OPTIMA,08/01/2024 3:00,Abha,10/01/2024 3:00,0,3268,1289,4557
2020,KIA,OPTIMA,09/01/2024 3:00,Abha,10/01/2024 3:00,0,12800,2194,14994
2021,GMC,SIERRA,10/01/2024 3:00,Abha,13/01/2024 3:00,0,2748,350,3098
2018,TOYOTA,CAMRY,11/01/2024 3:00,Abha,14/01/2024 3:00,0,1107,800,1907
2020,HYUNDAI,ELANTRA,11/01/2024 3:00,Abha,14/01/2024 3:00,0,8097,2000,10097
2019,HYUNDAI,ACCENT,15/01/2024 3:00,Abha,15/01/2024 3:00,0,379,600,979
2020,HYUNDAI,ACCENT,14/01/2024 3:00,Abha,15/01/2024 3:00,0,1479,1925,3404
2020,TOYOTA,AVALON,11/01/2024 3:00,Abha,15/01/2024 3:00,0,2666,1000,3666
2020,HYUNDAI,ELANTRA,14/01/2024 3:00,Abha,15/01/2024 3:00,0,6298,2500,8798
2019,NISSAN,SUNNY,15/01/2024 3:00,Abha,16/01/2024 3:00,0,879,1503,2382
2021,HYUNDAI,ACCENT,16/01/2024 3:00,Abha,17/01/2024 3:00,0,1368,700,2068
2020,TOYOTA,CAMRY,17/01/2024 3:00,Abha,17/01/2024 3:00,0,2004,2532,4536
2022,BUS,CS95,21/09/2023 3:00,Abha,17/01/2024 3:00,0,2146,1100,3246
2022,ISUZU,PICKUP 2C,15/01/2024 3:00,Abha,17/01/2024 3:00,0,111,1500,1611
2022,HYUNDAI,SANTA FE,16/01/2024 3:00,Abha,17/01/2024 3:00,0,1639,1000,2639
2021,KIA,Wagon,16/01/2024 3:00,Abha,17/01/2024 3:00,0,314,1500,1814
2023,HYUNDAI,AZERA,17/01/2024 3:00,Abha,18/01/2024 3:00,0,13097,3000,16097
2022,MAZDA,6 High Plus,21/01/2024 3:00,Abha,21/01/2024 3:00,0,2071,1000,3071
2023,CHEVROLET,CAPTIVA,18/01/2024 3:00,Abha,21/01/2024 3:00,0,5007,2000,7007
2023,Changan,CS 75,18/01/2024 3:00,Abha,21/01/2024 3:00,0,4494,1000,5494
2022,MAZDA,CX 9,20/01/2024 3:00,Abha,21/01/2024 3:00,0,3800,2000,5800
2021,TOYOTA,PICKUP 2C,18/01/2024 3:00,Abha,21/01/2024 3:00,0,5139,2900,8039
2022,TOYOTA,FORTUNER,25/12/2023 3:00,Abha,22/01/2024 3:00,0,10935,4000,14935
2023,KIA,SELTOS,21/01/2024 3:00,Abha,22/01/2024 3:00,0,3234,3500,6734
2020,HYUNDAI,SONATA,02/12/2023 3:00,Abha,22/01/2024 3:00,0,6223,2352,8575
2020,HYUNDAI,Kona,22/01/2024 3:00,Abha,23/01/2024 3:00,0,524,1890,2414
2017,HYUNDAI,SONATA,22/01/2024 3:00,Abha,23/01/2024 3:00,0,4567,2047,6614
2021,HYUNDAI,ELANTRA,21/01/2024 3:00,Abha,24/01/2024 3:00,0,3590,2200,5790
2020,TOYOTA,AVALON,25/01/2024 3:00,Abha,25/01/2024 3:00,0,0,871,871
2020,TOYOTA,INNOVA,28/01/2024 3:00,Abha,28/01/2024 3:00,0,1863,1617,3480
2020,HYUNDAI,Kona,05/12/2023 3:00,Abha,28/01/2024 3:00,0,6315,2500,8815
2022,HYUNDAI,SONATA,25/01/2024 3:00,Abha,28/01/2024 3:00,0,2459,1200,3659
2023,HYUNDAI,SONATA,06/09/2023 3:00,Abha,28/01/2024 3:00,0,5281,800,6081
2021,HYUNDAI,AZERA,29/01/2024 3:00,Abha,29/01/2024 3:00,0,4407,1800,6207
2023,TOYOTA,CAMRY,28/01/2024 3:00,Abha,29/01/2024 3:00,0,18939,8220,27159
2020,TOYOTA,CAMRY,29/01/2024 3:00,Abha,30/01/2024 3:00,0,1089,1402,2491
2022,HYUNDAI,Creta,20/01/2024 3:00,Abha,30/01/2024 3:00,0,11956,5000,16956
2016,TOYOTA,HILUX 2C,23/01/2024 3:00,Abha,30/01/2024 3:00,0,6447,2000,8447
2022,KIA,OPTIMA,29/01/2024 3:00,Abha,30/01/2024 3:00,0,1193,1600,2793
2022,TOYOTA,RUSH,15/01/2024 3:00,Abha,31/01/2024 3:00,0,2343,3000,5343
2020,HYUNDAI,SAVANA,31/01/2024 3:00,Abha,31/01/2024 3:00,0,3315,600,3915
2021,KIA,K5,04/02/2024 3:00,Abha,04/02/2024 3:00,0,2983,1423,4406
2023,JEEP,GRAND CHEROKEE,26/01/2024 3:00,Abha,07/02/2024 3:00,0,32168,3500,35668
2021,HYUNDAI,TUCSON,05/02/2024 3:00,Abha,07/02/2024 3:00,0,8588,2500,11088
2021,HYUNDAI,TUCSON,07/02/2024 3:00,Abha,07/02/2024 3:00,0,2288,1800,4088
2017,KIA,OPTIMA,31/01/2024 3:00,Abha,08/02/2024 3:00,0,2742,1421,4163
2021,TOYOTA,CAMRY,08/02/2024 3:00,Abha,11/02/2024 3:00,0,1827,1000,2827
2018,HONDA,CIVIC,11/02/2024 3:00,Abha,11/02/2024 3:00,0,3173,800,3973
2021,KIA,SELTOS,11/02/2024 3:00,Abha,11/02/2024 3:00,0,691,1200,1891
2019,HYUNDAI,ACCENT,12/02/2024 3:00,Abha,12/02/2024 3:00,0,4181,2500,6681
2023,HYUNDAI,ELANTRA,11/02/2024 3:00,Abha,12/02/2024 3:00,0,0,2000,2000
2018,NISSAN,SUNNY,11/02/2024 3:00,Abha,12/02/2024 3:00,0,1032,2000,3032
2023,HYUNDAI,TUCSON,19/12/2023 3:00,Abha,12/02/2024 3:00,0,17733,4500,22233
2023,HYUNDAI,TUCSON,08/02/2024 3:00,Abha,12/02/2024 3:00,0,5598,2500,8098
2017,KIA,CADENZA,13/02/2024 3:00,Abha,13/02/2024 3:00,0,5297,1649,6946
2016,TOYOTA,HILUX 2C,12/02/2024 3:00,Abha,13/02/2024 3:00,0,2934,1937,4871
2019,MAZDA,CX 9,14/02/2024 3:00,Abha,15/02/2024 3:00,0,3956,1700,5656
2021,MAZDA,CX 9,01/02/2024 3:00,Abha,15/02/2024 3:00,0,1622,1800,3422
2023,HYUNDAI,ELANTRA,10/01/2024 3:00,Abha,15/02/2024 3:00,0,15168,5500,20668
2022,ISUZU,MUX,15/02/2024 3:00,Abha,18/02/2024 3:00,0,17304,3000,20304
2019,GMC,TERRAIN,17/02/2024 3:00,Abha,18/02/2024 3:00,0,512,1600,2112
2020,TOYOTA,YARIS,15/02/2024 3:00,Abha,18/02/2024 3:00,0,6298,1500,7798
2020,TOYOTA,CAMRY,18/02/2024 3:00,Abha,19/02/2024 3:00,0,1191,1700,2891
2022,HYUNDAI,ELANTRA,19/02/2024 3:00,Abha,19/02/2024 3:00,0,5692,4000,9692
2024,HYUNDAI,TUCSON,31/01/2024 3:00,Abha,20/02/2024 3:00,0,4000,3000,7000
2020,HYUNDAI,ACCENT,19/02/2024 3:00,Abha,21/02/2024 3:00,0,566,1500,2066
2020,HYUNDAI,ELANTRA,20/02/2024 3:00,Abha,21/02/2024 3:00,0,49,1600,1649
2021,KIA,Wagon,21/02/2024 3:00,Abha,22/02/2024 3:00,0,8924,3000,11924
2017,HYUNDAI,SONATA,21/02/2024 3:00,Abha,25/02/2024 3:00,0,1926,800,2726
2021,HYUNDAI,ELANTRA,27/02/2024 3:00,Abha,28/02/2024 3:00,0,5021,1900,6921
2022,HYUNDAI,Kona,27/02/2024 3:00,Abha,28/02/2024 3:00,0,10769,3500,14269
2022,TOYOTA,FORTUNER,28/02/2024 3:00,Abha,29/02/2024 3:00,0,1367,1000,2367
2021,HYUNDAI,ACCENT,29/02/2024 3:00,Abha,03/03/2024 3:00,0,2736,3500,6236
2022,TOYOTA,CAMRY,29/02/2024 3:00,Abha,03/03/2024 3:00,0,1017,3000,4017
2023,TOYOTA,CAMRY,29/02/2024 3:00,Abha,03/03/2024 3:00,0,8048,5500,13548
2020,MAZDA,CX 9,02/03/2024 3:00,Abha,03/03/2024 3:00,0,3670,2500,6170
2022,ISUZU,PICKUP 1C,01/03/2024 3:00,Abha,03/03/2024 3:00,0,30399,5000,35399
2022,TOYOTA,AVALON,03/03/2024 3:00,Abha,05/03/2024 3:00,0,9940,5000,14940
2020,HYUNDAI,AZERA,04/03/2024 3:00,Abha,05/03/2024 3:00,0,7160,1300,8460
2023,LEXUS,LX600,05/03/2024 3:00,Abha,05/03/2024 3:00,0,44836,4800,49636
2023,ISUZU,PICKUP 1C,28/02/2024 3:00,Abha,05/03/2024 3:00,0,2262,2300,4562
2022,ISUZU,PICKUP 2C,04/03/2024 3:00,Abha,05/03/2024 3:00,0,9917,4500,14417
2024,HYUNDAI,TUCSON,04/03/2024 3:00,Abha,05/03/2024 3:00,0,1645,2000,3645
2019,HYUNDAI,ELANTRA,06/03/2024 3:00,Abha,06/03/2024 3:00,0,1567,1500,3067
2023,HYUNDAI,Kona,05/03/2024 3:00,Abha,06/03/2024 3:00,0,2662,2500,5162
2022,TOYOTA,CAMRY,07/03/2024 3:00,Abha,07/03/2024 3:00,300,27147,4500,31947
2023,KIA,PEGAS,07/03/2024 3:00,Abha,07/03/2024 3:00,624,5109,2310,8043
2023,TOYOTA,PICKUP 2C,06/03/2024 3:00,Abha,07/03/2024 3:00,0,5817,2500,8317
2023,HYUNDAI,palisade,10/03/2024 3:00,Abha,10/03/2024 3:00,0,10911,4046,14957
2021,TOYOTA,PICKUP 2C,08/03/2024 3:00,Abha,10/03/2024 3:00,0,1852,1500,3352
2018,CHEVROLET,SUBURBAN,10/03/2024 3:00,Abha,10/03/2024 3:00,0,12808,2000,14808
2022,HYUNDAI,TUCSON,08/03/2024 3:00,Abha,10/03/2024 3:00,0,590,1200,1790
2022,NISSAN,X-TRAIL,09/03/2024 3:00,Abha,10/03/2024 3:00,0,13361,3000,16361
2023,HYUNDAI,ELANTRA,10/03/2024 3:00,Abha,11/03/2024 3:00,0,14358,7500,21858
2023,FORD,TAURUS,02/03/2024 3:00,Abha,11/03/2024 3:00,0,21996,6500,28496
2023,TOYOTA,CAMRY,12/03/2024 3:00,Abha,13/03/2024 3:00,0,1868,2000,3868
2024,TOYOTA,COROLLA,12/03/2024 3:00,Abha,13/03/2024 3:00,0,2193,1800,3993
2021,MAZDA,CX 9,11/03/2024 3:00,Abha,13/03/2024 3:00,0,11682,3500,15182
2016,NISSAN,PICKUP 2C,12/03/2024 3:00,Abha,13/03/2024 3:00,0,2395,1000,3395
2024,FORD,TAURUS,12/02/2024 3:00,Abha,13/03/2024 3:00,0,1137,1300,2437
2021,HYUNDAI,TUCSON,12/03/2024 3:00,Abha,13/03/2024 3:00,0,17045,5000,22045
2020,TOYOTA,CAMRY,13/03/2024 3:00,Abha,14/03/2024 3:00,0,10511,4921,15432
2023,NISSAN,URVAN-VAN,13/03/2024 3:00,Abha,14/03/2024 3:00,0,33805,4000,37805
2020,MAZDA,CX 9,14/03/2024 3:00,Abha,16/03/2024 3:00,0,2534,2000,4534
2022,TOYOTA,PRADO,02/03/2024 3:00,Abha,17/03/2024 3:00,0,2223,1200,3423
2023,HYUNDAI,ELANTRA,18/03/2024 3:00,Abha,19/03/2024 3:00,700,8597,5094,14391
2021,MAZDA,CX 9,21/03/2024 3:00,Abha,21/03/2024 3:00,0,2196,800,2996
2017,HYUNDAI,SONATA,08/02/2024 3:00,Abha,21/03/2024 3:00,0,0,2000,2000
2023,HYUNDAI,Creta,28/02/2024 3:00,Abha,24/03/2024 3:00,0,18377,4000,22377
2022,LEXUS,LX600,24/03/2024 3:00,Abha,24/03/2024 3:00,0,1987,1500,3487
2020,HYUNDAI,ACCENT,25/03/2024 3:00,Abha,25/03/2024 3:00,0,1005,600,1605
2021,MAZDA,6 High Plus,26/03/2024 3:00,Abha,26/03/2024 3:00,0,12280,5500,17780
2022,HYUNDAI,Creta,26/03/2024 3:00,Abha,26/03/2024 3:00,0,5062,2500,7562
2019,HYUNDAI,Genesis G80,25/03/2024 3:00,Abha,26/03/2024 3:00,0,6018,2500,8518
2023,TOYOTA,YARIS,26/03/2024 3:00,Abha,26/03/2024 3:00,0,822,2000,2822
2023,TOYOTA,YARIS,26/03/2024 3:00,Abha,26/03/2024 3:00,0,6084,3500,9584
2023,TOYOTA,RAV4,03/03/2024 3:00,Abha,27/03/2024 3:00,0,6303,3000,9303
2020,TOYOTA,CAMRY,17/07/2023 3:00,Abha,30/03/2024 3:00,0,1716,2500,4216
2019,TOYOTA,CAMRY,01/04/2024 3:00,Abha,01/04/2024 3:00,0,2950,1800,4750
2021,TOYOTA,INNOVA,27/03/2024 3:00,Abha,02/04/2024 3:00,0,4508,3000,7508
2024,FORD,TAURUS,01/04/2024 3:00,Abha,02/04/2024 3:00,0,9799,6000,15799
2023,MITSUBISHI,PICKUP 1C,14/09/2023 3:00,Abha,03/04/2024 3:00,0,2750,3000,5750
2021,HYUNDAI,AZERA,04/04/2024 3:00,Abha,04/04/2024 3:00,0,0,26107,26107
2024,TOYOTA,CAMRY,03/04/2024 3:00,Abha,04/04/2024 3:00,0,5760,6500,12260
2018,DODGE,CHARGER,03/04/2024 3:00,Abha,05/04/2024 3:00,0,3820,300,4120
2020,MAZDA,CX 9,05/04/2024 3:00,Abha,05/04/2024 3:00,0,1795,1200,2995
2020,HYUNDAI,ELANTRA,05/04/2024 3:00,Abha,05/04/2024 3:00,0,4707,2000,6707
2023,KIA,SELTOS,03/04/2024 3:00,Abha,05/04/2024 3:00,0,1165,1700,2865
2022,HAVAL,H6,04/04/2024 3:00,Abha,06/04/2024 3:00,0,5960,1300,7260
2022,Changan,EADO,04/04/2024 3:00,Abha,07/04/2024 3:00,0,0,5000,5000
2022,HAVAL,H6,09/04/2024 3:00,Abha,09/04/2024 3:00,0,2688,2000,4688
2023,MAZDA,6 High Plus,14/04/2024 3:00,Abha,14/04/2024 3:00,0,3671,1500,5171
2023,MAZDA,6 High Plus,15/04/2024 3:00,Abha,15/04/2024 3:00,0,3635,1000,4635
2020,TOYOTA,CAMRY,15/04/2024 3:00,Abha,15/04/2024 3:00,0,1817,1200,3017
2021,TOYOTA,CAMRY,14/04/2024 3:00,Abha,15/04/2024 3:00,0,1665,2500,4165
2022,MAZDA,CX 9,16/04/2024 3:00,Abha,17/04/2024 3:00,0,3783,14000,17783
2022,JEEP,Gladiator,16/04/2024 3:00,Abha,17/04/2024 3:00,0,2767,1173,3940
2019,HYUNDAI,SONATA,17/04/2024 3:00,Abha,17/04/2024 3:00,0,641,1400,2041
2021,FORD,TAURUS,27/02/2024 3:00,Abha,17/04/2024 3:00,0,17483,2500,19983
2019,HYUNDAI,ELANTRA,17/04/2024 3:00,Abha,18/04/2024 3:00,0,6931,2000,8931
2020,TOYOTA,,17/04/2024 3:00,Abha,18/04/2024 3:00,0,4785,2500,7285
2020,TOYOTA,CAMRY,18/04/2024 3:00,Abha,20/04/2024 3:00,0,2435,1500,3935
2021,KIA,PEGAS,19/04/2024 3:00,Abha,20/04/2024 3:00,0,158,2300,2458
2023,FORD,TAURUS,21/04/2024 3:00,Abha,21/04/2024 3:00,0,11999,4000,15999
2023,TOYOTA,YARIS,18/04/2024 3:00,Abha,21/04/2024 3:00,0,7987,3200,11187
2022,MG,ZS,20/04/2024 3:00,Abha,21/04/2024 3:00,0,10882,3800,14682
2022,TOYOTA,,21/04/2024 3:00,Abha,21/04/2024 3:00,0,4696,3000,7696
2022,KIA,CERATO,04/04/2024 3:00,Abha,22/04/2024 3:00,0,12534,2500,15034
2024,TOYOTA,CAMRY,21/04/2024 3:00,Abha,23/04/2024 3:00,0,1751,1500,3251
2021,TOYOTA,CAMRY,22/04/2024 3:00,Abha,23/04/2024 3:00,0,7082,2500,9582
2018,TOYOTA,CAMRY,23/04/2024 3:00,Abha,23/04/2024 3:00,0,6984,5000,11984
2020,HYUNDAI,Creta,24/04/2024 3:00,Abha,24/04/2024 3:00,0,947,700,1647
2023,TOYOTA,PICKUP 2C,22/04/2024 3:00,Abha,24/04/2024 3:00,0,12546,3500,16046
2023,GEELY,COOLRAY,24/04/2024 3:00,Abha,25/04/2024 3:00,700,9587,4023,14310
2021,HYUNDAI,ELANTRA,24/04/2024 3:00,Abha,25/04/2024 3:00,0,2340,1748,4088
2020,CHEVROLET,MALIBU,25/04/2024 3:00,Abha,27/04/2024 3:00,0,1800,1500,3300
2018,HYUNDAI,SONATA,24/04/2024 3:00,Abha,27/04/2024 3:00,0,5912,3000,8912
2020,MAZDA,Mazda 6,25/04/2024 3:00,Abha,28/04/2024 3:00,0,2912,1200,4112
2022,TOYOTA,CAMRY,24/04/2024 3:00,Abha,29/04/2024 3:00,0,13981,5000,18981
2022,TOYOTA,CAMRY,14/04/2024 3:00,Abha,30/04/2024 3:00,0,15420,4500,19920
2023,TOYOTA,HIACE,30/04/2024 3:00,Abha,30/04/2024 3:00,0,2341,1800,4141
2023,CHEVROLET,TAHOE,04/04/2024 3:00,Abha,01/05/2024 3:00,0,7726,15000,22726
2021,HYUNDAI,Kona,02/05/2024 3:00,Abha,05/05/2024 3:00,0,5399,2500,7899
2021,TOYOTA,PICKUP 2C,04/05/2024 3:00,Abha,05/05/2024 3:00,0,4058,3000,7058
2023,HYUNDAI,TUCSON,02/05/2024 3:00,Abha,05/05/2024 3:00,0,1162,2000,3162
2023,TOYOTA,YARIS,05/05/2024 3:00,Abha,05/05/2024 3:00,0,4708,2300,7008
2020,TOYOTA,CAMRY,05/05/2024 3:00,Abha,06/05/2024 3:00,0,1852,1000,2852
2022,MAZDA,CX 30,05/05/2024 3:00,Abha,06/05/2024 3:00,0,7760,5500,13260
2019,MAZDA,CX 9,05/05/2024 3:00,Abha,06/05/2024 3:00,0,2222,1700,3922
2022,MAZDA,CX 9,05/05/2024 3:00,Abha,06/05/2024 3:00,0,3783,14000,17783
2024,HYUNDAI,ELANTRA,05/05/2024 3:00,Abha,06/05/2024 3:00,0,9476,1950,11426
2019,HYUNDAI,ELANTRA,06/05/2024 3:00,Abha,06/05/2024 3:00,0,773,2000,2773
2017,FORD,EXPLORER,24/04/2024 3:00,Abha,06/05/2024 3:00,0,7391,5500,12891
2022,ISUZU,MUX,06/05/2024 3:00,Abha,06/05/2024 3:00,0,15636,2500,18136
2023,TOYOTA,CAMRY,23/04/2024 3:00,Abha,07/05/2024 3:00,0,7211,3000,10211
2021,HYUNDAI,AZERA,08/05/2024 3:00,Abha,08/05/2024 3:00,0,23020,4500,27520
2021,MAZDA,CX 30,27/02/2024 3:00,Abha,08/05/2024 3:00,0,4873,4000,8873
2023,TOYOTA,YARIS,07/05/2024 3:00,Abha,08/05/2024 3:00,0,756,2000,2756
2023,TOYOTA,HILUX,08/05/2024 3:00,Abha,09/05/2024 3:00,0,27011,5000,32011
2022,HYUNDAI,TUCSON,07/05/2024 3:00,Abha,09/05/2024 3:00,0,5404,3000,8404
2020,HYUNDAI,ACCENT,07/05/2024 3:00,Abha,11/05/2024 3:00,0,4149,1800,5949
2019,TOYOTA,CAMRY,08/05/2024 3:00,Abha,11/05/2024 3:00,0,1572,2000,3572
2020,HYUNDAI,ACCENT,09/05/2024 3:00,Abha,12/05/2024 3:00,0,3760,3328,7088
2020,HYUNDAI,ACCENT,08/05/2024 3:00,Abha,12/05/2024 3:00,0,7103,2500,9603
2020,TOYOTA,AVALON,10/05/2024 3:00,Abha,12/05/2024 3:00,0,19738,3000,22738
2019,DODGE,CHARGER,09/05/2024 3:00,Abha,12/05/2024 3:00,0,0,1500,1500
2022,BUS,CS 75,28/02/2024 3:00,Abha,12/05/2024 3:00,0,7022,2500,9522
2024,TOYOTA,CAMRY,12/05/2024 3:00,Abha,13/05/2024 3:00,0,5134,1500,6634
2020,TOYOTA,COROLLA,12/05/2024 3:00,Abha,13/05/2024 3:00,0,3268,2000,5268
2020,HYUNDAI,ELANTRA,09/05/2024 3:00,Abha,13/05/2024 3:00,0,4898,4000,8898
2020,MAZDA,Mazda 6,12/05/2024 3:00,Abha,13/05/2024 3:00,0,6621,1800,8421
2022,GREAT WALL,PICKUP,09/05/2024 3:00,Abha,13/05/2024 3:00,0,4247,2000,6247
2024,TOYOTA,YARIS,12/05/2024 3:00,Abha,13/05/2024 3:00,0,24426,4000,28426
2024,TOYOTA,COROLLA,11/05/2024 3:00,Abha,14/05/2024 3:00,0,4396,3500,7896
2019,LEXUS,IS 250,18/04/2024 3:00,Abha,14/05/2024 3:00,0,22511,6000,28511
2020,MAZDA,Mazda 6,13/05/2024 3:00,Abha,14/05/2024 3:00,0,7658,2000,9658
2023,FORD,TAURUS,12/05/2024 3:00,Abha,14/05/2024 3:00,0,9802,3000,12802
2023,GMC,YUKON,13/05/2024 3:00,Abha,14/05/2024 3:00,850,0,9500,10350
2019,GMC,YUKON,12/05/2024 3:00,Abha,14/05/2024 3:00,0,0,2200,2200
2021,HYUNDAI,ACCENT,15/05/2024 3:00,Abha,15/05/2024 3:00,0,629,2500,3129
2024,TOYOTA,CAMRY,18/03/2024 3:00,Abha,15/05/2024 3:00,0,22704,6000,28704
2023,CHEVROLET,CAPTIVA,14/05/2024 3:00,Abha,15/05/2024 3:00,0,5646,4500,10146
2020,LEXUS,ES,14/05/2024 3:00,Abha,15/05/2024 3:00,0,5087,5000,10087
2020,FORD,TAURUS,14/05/2024 3:00,Abha,15/05/2024 3:00,0,2989,800,3789
2022,HYUNDAI,TUCSON,14/05/2024 3:00,Abha,15/05/2024 3:00,0,6067,3000,9067
2020,Changan,CS 95,07/04/2024 3:00,Abha,16/05/2024 3:00,0,4622,1500,6122
2020,KIA,OPTIMA,15/05/2024 3:00,Abha,16/05/2024 3:00,0,6404,2500,8904
2020,MAZDA,6,16/05/2024 3:00,Abha,18/05/2024 3:00,0,4224,2000,6224
2021,Changan,CS 95,16/05/2024 3:00,Abha,18/05/2024 3:00,0,5434,1300,6734
2019,HYUNDAI,ELANTRA,16/05/2024 3:00,Abha,18/05/2024 3:00,0,8967,3000,11967
2021,HYUNDAI,ACCENT,16/05/2024 3:00,Abha,19/05/2024 3:00,0,7785,4000,11785
2019,HYUNDAI,ACCENT,20/05/2024 3:00,Abha,20/05/2024 3:00,0,2231,2000,4231
2022,TOYOTA,AVALON,16/05/2024 3:00,Abha,20/05/2024 3:00,0,2595,1630,4225
2024,TOYOTA,LAND CRUISER,19/05/2024 3:00,Abha,20/05/2024 3:00,0,8198,2000,10198
2020,HYUNDAI,TUCSON,21/04/2024 3:00,Abha,20/05/2024 3:00,0,4520,5000,9520
2021,MAZDA,6 High Plus,20/05/2024 3:00,Abha,21/05/2024 3:00,0,4941,3500,8441
2023,TOYOTA,CAMRY,19/05/2024 3:00,Abha,21/05/2024 3:00,0,4273,1500,5773
2020,HYUNDAI,ELANTRA,21/05/2024 3:00,Abha,21/05/2024 3:00,0,3528,2200,5728
2020,HYUNDAI,ELANTRA,20/05/2024 3:00,Abha,21/05/2024 3:00,0,4487,3000,7487
2020,HYUNDAI,SONATA,18/05/2024 3:00,Abha,21/05/2024 3:00,0,7402,3800,11202
2023,HYUNDAI,TUCSON,21/05/2024 3:00,Abha,22/05/2024 3:00,0,205,1500,1705
