,Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total,TimeDifference,Other_Amt_Class,WorkShop_Amt_Class,Time_Diff_Class,PartProvider_Amt_Class,Total_Class
15,2020,HYUNDAI,Kona,2023-12-05,Abha,2023-12-06,0,5834.0,2800.0,8634.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
16,2024,HYUNDAI,ACCENT,2023-12-09,Abha,2023-12-10,0,3806.0,1500.0,5306.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
17,2022,HYUNDAI,Creta,2023-12-11,Abha,2023-12-11,0,6941.0,1800.0,8741.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
18,2023,TOYOTA,HILUX,2023-12-12,Abha,2023-12-13,200,6680.0,1800.0,8680.0,1,Class 2,Class 2,Class 2,Class 2,Class 2
19,2019,HYUNDAI,ELANTRA,2023-12-19,Abha,2023-12-20,0,205.0,1500.0,1705.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
20,2022,CHEVROLET,TRAVERSE,2023-12-19,Abha,2023-12-20,0,367.0,1000.0,1367.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
21,2021,HYUNDAI,ACCENT,2023-12-20,Abha,2023-12-21,0,6288.0,2394.0,8682.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
22,2020,HYUNDAI,SONATA,2023-12-20,Abha,2023-12-21,0,3527.0,2011.0,5538.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
23,2023,MAZDA,6 High Plus,2023-12-21,Abha,2023-12-24,0,96.0,4000.0,4096.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
24,2021,KIA,CADENZA,2023-12-24,Abha,2023-12-25,0,18658.0,3800.0,22458.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
25,2023,HYUNDAI,ELANTRA,2023-11-17,Abha,2023-12-26,0,7060.0,3000.0,10060.0,39,Class 1,Class 2,Class 3,Class 2,Class 2
26,2022,HYUNDAI,ELANTRA,2023-12-24,Abha,2023-12-27,0,819.0,1000.0,1819.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
27,2021,LEXUS,ES,2023-12-26,Abha,2023-12-27,0,2268.0,1800.0,4068.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
28,2020,TOYOTA,Land Cruiser LX V6,2023-12-27,Abha,2023-12-28,0,1840.0,216.0,2056.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
29,2019,HYUNDAI,ELANTRA,2023-12-31,Abha,2023-12-31,0,730.0,600.0,1330.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
30,2023,TOYOTA,YARIS,2023-12-28,Abha,2023-12-31,0,5320.0,4600.0,9920.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
31,2024,MAZDA,CX 5,2024-01-01,Abha,2024-01-02,0,1048.0,800.0,1848.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
32,2020,TOYOTA,CAMRY,2024-01-03,Abha,2024-01-04,0,7099.0,1316.0,8415.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
33,2020,HYUNDAI,SONATA,2023-10-31,Abha,2024-01-04,600,1982.0,2200.0,4782.0,65,Class 2,Class 2,Class 3,Class 2,Class 2
34,2020,HYUNDAI,ELANTRA,2024-01-03,Abha,2024-01-06,0,6094.0,1834.0,7928.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
35,2016,NISSAN,PICKUP 2C,2024-01-04,Abha,2024-01-06,0,2337.0,663.0,3000.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
36,2020,FORD,TAURUS,2024-01-04,Abha,2024-01-06,0,2088.0,1026.0,3114.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
37,2023,TOYOTA,RUSH,2024-01-08,Abha,2024-01-09,0,6685.0,2300.0,8985.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
38,2017,MAZDA,6,2024-01-02,Abha,2024-01-10,0,5030.0,2000.0,7030.0,8,Class 1,Class 2,Class 2,Class 2,Class 2
39,2016,KIA,CERATO,2024-01-07,Abha,2024-01-10,0,1918.0,1307.0,3225.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
40,2023,MAZDA,CX 9,2024-01-09,Abha,2024-01-10,0,16205.0,5200.0,21405.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
41,2023,ISUZU,D-MAX,2024-01-08,Abha,2024-01-10,0,470.0,1500.0,1970.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
42,2020,KIA,OPTIMA,2024-01-08,Abha,2024-01-10,0,3268.0,1289.0,4557.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
43,2020,KIA,OPTIMA,2024-01-09,Abha,2024-01-10,0,12800.0,2194.0,14994.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
44,2021,GMC,SIERRA,2024-01-10,Abha,2024-01-13,0,2748.0,350.0,3098.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
45,2018,TOYOTA,CAMRY,2024-01-11,Abha,2024-01-14,0,1107.0,800.0,1907.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
46,2020,HYUNDAI,ELANTRA,2024-01-11,Abha,2024-01-14,0,8097.0,2000.0,10097.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
47,2019,HYUNDAI,ACCENT,2024-01-15,Abha,2024-01-15,0,379.0,600.0,979.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
48,2020,HYUNDAI,ACCENT,2024-01-14,Abha,2024-01-15,0,1479.0,1925.0,3404.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
49,2020,TOYOTA,AVALON,2024-01-11,Abha,2024-01-15,0,2666.0,1000.0,3666.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
50,2020,HYUNDAI,ELANTRA,2024-01-14,Abha,2024-01-15,0,6298.0,2500.0,8798.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
51,2019,NISSAN,SUNNY,2024-01-15,Abha,2024-01-16,0,879.0,1503.0,2382.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
52,2021,HYUNDAI,ACCENT,2024-01-16,Abha,2024-01-17,0,1368.0,700.0,2068.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
53,2020,TOYOTA,CAMRY,2024-01-17,Abha,2024-01-17,0,2004.0,2532.0,4536.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
54,2022,BUS,CS95,2023-09-21,Abha,2024-01-17,0,2146.0,1100.0,3246.0,118,Class 1,Class 2,Class 3,Class 2,Class 2
55,2022,ISUZU,PICKUP 2C,2024-01-15,Abha,2024-01-17,0,111.0,1500.0,1611.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
56,2022,HYUNDAI,SANTA FE,2024-01-16,Abha,2024-01-17,0,1639.0,1000.0,2639.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
57,2021,KIA,Wagon,2024-01-16,Abha,2024-01-17,0,314.0,1500.0,1814.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
58,2023,HYUNDAI,AZERA,2024-01-17,Abha,2024-01-18,0,13097.0,3000.0,16097.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
59,2022,MAZDA,6 High Plus,2024-01-21,Abha,2024-01-21,0,2071.0,1000.0,3071.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
60,2023,CHEVROLET,CAPTIVA,2024-01-18,Abha,2024-01-21,0,5007.0,2000.0,7007.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
61,2023,Changan,CS 75,2024-01-18,Abha,2024-01-21,0,4494.0,1000.0,5494.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
62,2022,MAZDA,CX 9,2024-01-20,Abha,2024-01-21,0,3800.0,2000.0,5800.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
63,2021,TOYOTA,PICKUP 2C,2024-01-18,Abha,2024-01-21,0,5139.0,2900.0,8039.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
64,2022,TOYOTA,FORTUNER,2023-12-25,Abha,2024-01-22,0,10935.0,4000.0,14935.0,28,Class 1,Class 2,Class 3,Class 2,Class 2
65,2023,KIA,SELTOS,2024-01-21,Abha,2024-01-22,0,3234.0,3500.0,6734.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
66,2020,HYUNDAI,SONATA,2023-12-02,Abha,2024-01-22,0,6223.0,2352.0,8575.0,51,Class 1,Class 2,Class 3,Class 2,Class 2
67,2020,HYUNDAI,Kona,2024-01-22,Abha,2024-01-23,0,524.0,1890.0,2414.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
68,2017,HYUNDAI,SONATA,2024-01-22,Abha,2024-01-23,0,4567.0,2047.0,6614.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
69,2021,HYUNDAI,ELANTRA,2024-01-21,Abha,2024-01-24,0,3590.0,2200.0,5790.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
70,2020,TOYOTA,AVALON,2024-01-25,Abha,2024-01-25,0,0.0,871.0,871.0,0,Class 1,Class 2,Class 1,Class 1,Class 2
71,2020,TOYOTA,INNOVA,2024-01-28,Abha,2024-01-28,0,1863.0,1617.0,3480.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
72,2020,HYUNDAI,Kona,2023-12-05,Abha,2024-01-28,0,6315.0,2500.0,8815.0,54,Class 1,Class 2,Class 3,Class 2,Class 2
73,2022,HYUNDAI,SONATA,2024-01-25,Abha,2024-01-28,0,2459.0,1200.0,3659.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
74,2023,HYUNDAI,SONATA,2023-09-06,Abha,2024-01-28,0,5281.0,800.0,6081.0,144,Class 1,Class 2,Class 3,Class 2,Class 2
75,2021,HYUNDAI,AZERA,2024-01-29,Abha,2024-01-29,0,4407.0,1800.0,6207.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
76,2023,TOYOTA,CAMRY,2024-01-28,Abha,2024-01-29,0,18939.0,8220.0,27159.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
77,2020,TOYOTA,CAMRY,2024-01-29,Abha,2024-01-30,0,1089.0,1402.0,2491.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
78,2022,HYUNDAI,Creta,2024-01-20,Abha,2024-01-30,0,11956.0,5000.0,16956.0,10,Class 1,Class 2,Class 2,Class 2,Class 2
79,2016,TOYOTA,HILUX 2C,2024-01-23,Abha,2024-01-30,0,6447.0,2000.0,8447.0,7,Class 1,Class 2,Class 2,Class 2,Class 2
80,2022,KIA,OPTIMA,2024-01-29,Abha,2024-01-30,0,1193.0,1600.0,2793.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
81,2022,TOYOTA,RUSH,2024-01-15,Abha,2024-01-31,0,2343.0,3000.0,5343.0,16,Class 1,Class 2,Class 3,Class 2,Class 2
82,2020,HYUNDAI,SAVANA,2024-01-31,Abha,2024-01-31,0,3315.0,600.0,3915.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
83,2021,KIA,K5,2024-02-04,Abha,2024-02-04,0,2983.0,1423.0,4406.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
84,2023,JEEP,GRAND CHEROKEE,2024-01-26,Abha,2024-02-07,0,32168.0,3500.0,35668.0,12,Class 1,Class 2,Class 2,Class 3,Class 2
85,2021,HYUNDAI,TUCSON,2024-02-05,Abha,2024-02-07,0,8588.0,2500.0,11088.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
86,2021,HYUNDAI,TUCSON,2024-02-07,Abha,2024-02-07,0,2288.0,1800.0,4088.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
87,2017,KIA,OPTIMA,2024-01-31,Abha,2024-02-08,0,2742.0,1421.0,4163.0,8,Class 1,Class 2,Class 2,Class 2,Class 2
88,2021,TOYOTA,CAMRY,2024-02-08,Abha,2024-02-11,0,1827.0,1000.0,2827.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
89,2018,HONDA,CIVIC,2024-02-11,Abha,2024-02-11,0,3173.0,800.0,3973.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
90,2021,KIA,SELTOS,2024-02-11,Abha,2024-02-11,0,691.0,1200.0,1891.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
91,2019,HYUNDAI,ACCENT,2024-02-12,Abha,2024-02-12,0,4181.0,2500.0,6681.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
92,2023,HYUNDAI,ELANTRA,2024-02-11,Abha,2024-02-12,0,0.0,2000.0,2000.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
93,2018,NISSAN,SUNNY,2024-02-11,Abha,2024-02-12,0,1032.0,2000.0,3032.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
94,2023,HYUNDAI,TUCSON,2023-12-19,Abha,2024-02-12,0,17733.0,4500.0,22233.0,55,Class 1,Class 2,Class 3,Class 2,Class 2
95,2023,HYUNDAI,TUCSON,2024-02-08,Abha,2024-02-12,0,5598.0,2500.0,8098.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
96,2017,KIA,CADENZA,2024-02-13,Abha,2024-02-13,0,5297.0,1649.0,6946.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
97,2016,TOYOTA,HILUX 2C,2024-02-12,Abha,2024-02-13,0,2934.0,1937.0,4871.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
98,2019,MAZDA,CX 9,2024-02-14,Abha,2024-02-15,0,3956.0,1700.0,5656.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
99,2021,MAZDA,CX 9,2024-02-01,Abha,2024-02-15,0,1622.0,1800.0,3422.0,14,Class 1,Class 2,Class 2,Class 2,Class 2
100,2023,HYUNDAI,ELANTRA,2024-01-10,Abha,2024-02-15,0,15168.0,5500.0,20668.0,36,Class 1,Class 2,Class 3,Class 2,Class 2
101,2022,ISUZU,MUX,2024-02-15,Abha,2024-02-18,0,17304.0,3000.0,20304.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
102,2019,GMC,TERRAIN,2024-02-17,Abha,2024-02-18,0,512.0,1600.0,2112.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
103,2020,TOYOTA,YARIS,2024-02-15,Abha,2024-02-18,0,6298.0,1500.0,7798.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
104,2020,TOYOTA,CAMRY,2024-02-18,Abha,2024-02-19,0,1191.0,1700.0,2891.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
105,2022,HYUNDAI,ELANTRA,2024-02-19,Abha,2024-02-19,0,5692.0,4000.0,9692.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
106,2024,HYUNDAI,TUCSON,2024-01-31,Abha,2024-02-20,0,4000.0,3000.0,7000.0,20,Class 1,Class 2,Class 3,Class 2,Class 2
107,2020,HYUNDAI,ACCENT,2024-02-19,Abha,2024-02-21,0,566.0,1500.0,2066.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
108,2020,HYUNDAI,ELANTRA,2024-02-20,Abha,2024-02-21,0,49.0,1600.0,1649.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
109,2021,KIA,Wagon,2024-02-21,Abha,2024-02-22,0,8924.0,3000.0,11924.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
110,2017,HYUNDAI,SONATA,2024-02-21,Abha,2024-02-25,0,1926.0,800.0,2726.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
111,2021,HYUNDAI,ELANTRA,2024-02-27,Abha,2024-02-28,0,5021.0,1900.0,6921.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
112,2022,HYUNDAI,Kona,2024-02-27,Abha,2024-02-28,0,10769.0,3500.0,14269.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
113,2022,TOYOTA,FORTUNER,2024-02-28,Abha,2024-02-29,0,1367.0,1000.0,2367.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
114,2021,HYUNDAI,ACCENT,2024-02-29,Abha,2024-03-03,0,2736.0,3500.0,6236.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
115,2022,TOYOTA,CAMRY,2024-02-29,Abha,2024-03-03,0,1017.0,3000.0,4017.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
116,2023,TOYOTA,CAMRY,2024-02-29,Abha,2024-03-03,0,8048.0,5500.0,13548.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
117,2020,MAZDA,CX 9,2024-03-02,Abha,2024-03-03,0,3670.0,2500.0,6170.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
118,2022,ISUZU,PICKUP 1C,2024-03-01,Abha,2024-03-03,0,30399.0,5000.0,35399.0,2,Class 1,Class 2,Class 2,Class 3,Class 2
119,2022,TOYOTA,AVALON,2024-03-03,Abha,2024-03-05,0,9940.0,5000.0,14940.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
120,2020,HYUNDAI,AZERA,2024-03-04,Abha,2024-03-05,0,7160.0,1300.0,8460.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
121,2023,LEXUS,LX600,2024-03-05,Abha,2024-03-05,0,44836.0,4800.0,49636.0,0,Class 1,Class 2,Class 1,Class 3,Class 2
122,2023,ISUZU,PICKUP 1C,2024-02-28,Abha,2024-03-05,0,2262.0,2300.0,4562.0,6,Class 1,Class 2,Class 2,Class 2,Class 2
123,2022,ISUZU,PICKUP 2C,2024-03-04,Abha,2024-03-05,0,9917.0,4500.0,14417.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
124,2024,HYUNDAI,TUCSON,2024-03-04,Abha,2024-03-05,0,1645.0,2000.0,3645.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
125,2019,HYUNDAI,ELANTRA,2024-03-06,Abha,2024-03-06,0,1567.0,1500.0,3067.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
126,2023,HYUNDAI,Kona,2024-03-05,Abha,2024-03-06,0,2662.0,2500.0,5162.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
127,2022,TOYOTA,CAMRY,2024-03-07,Abha,2024-03-07,300,27147.0,4500.0,31947.0,0,Class 2,Class 2,Class 1,Class 3,Class 2
128,2023,KIA,PEGAS,2024-03-07,Abha,2024-03-07,624,5109.0,2310.0,8043.0,0,Class 2,Class 2,Class 1,Class 2,Class 2
129,2023,TOYOTA,PICKUP 2C,2024-03-06,Abha,2024-03-07,0,5817.0,2500.0,8317.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
130,2023,HYUNDAI,palisade,2024-03-10,Abha,2024-03-10,0,10911.0,4046.0,14957.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
131,2021,TOYOTA,PICKUP 2C,2024-03-08,Abha,2024-03-10,0,1852.0,1500.0,3352.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
132,2018,CHEVROLET,SUBURBAN,2024-03-10,Abha,2024-03-10,0,12808.0,2000.0,14808.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
133,2022,HYUNDAI,TUCSON,2024-03-08,Abha,2024-03-10,0,590.0,1200.0,1790.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
134,2022,NISSAN,X-TRAIL,2024-03-09,Abha,2024-03-10,0,13361.0,3000.0,16361.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
135,2023,HYUNDAI,ELANTRA,2024-03-10,Abha,2024-03-11,0,14358.0,7500.0,21858.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
136,2023,FORD,TAURUS,2024-03-02,Abha,2024-03-11,0,21996.0,6500.0,28496.0,9,Class 1,Class 2,Class 2,Class 2,Class 2
137,2023,TOYOTA,CAMRY,2024-03-12,Abha,2024-03-13,0,1868.0,2000.0,3868.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
138,2024,TOYOTA,COROLLA,2024-03-12,Abha,2024-03-13,0,2193.0,1800.0,3993.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
139,2021,MAZDA,CX 9,2024-03-11,Abha,2024-03-13,0,11682.0,3500.0,15182.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
140,2016,NISSAN,PICKUP 2C,2024-03-12,Abha,2024-03-13,0,2395.0,1000.0,3395.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
141,2024,FORD,TAURUS,2024-02-12,Abha,2024-03-13,0,1137.0,1300.0,2437.0,30,Class 1,Class 2,Class 3,Class 2,Class 2
142,2021,HYUNDAI,TUCSON,2024-03-12,Abha,2024-03-13,0,17045.0,5000.0,22045.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
143,2020,TOYOTA,CAMRY,2024-03-13,Abha,2024-03-14,0,10511.0,4921.0,15432.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
144,2023,NISSAN,URVAN-VAN,2024-03-13,Abha,2024-03-14,0,33805.0,4000.0,37805.0,1,Class 1,Class 2,Class 2,Class 3,Class 2
145,2020,MAZDA,CX 9,2024-03-14,Abha,2024-03-16,0,2534.0,2000.0,4534.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
146,2022,TOYOTA,PRADO,2024-03-02,Abha,2024-03-17,0,2223.0,1200.0,3423.0,15,Class 1,Class 2,Class 3,Class 2,Class 2
147,2023,HYUNDAI,ELANTRA,2024-03-18,Abha,2024-03-19,700,8597.0,5094.0,14391.0,1,Class 2,Class 2,Class 2,Class 2,Class 2
148,2021,MAZDA,CX 9,2024-03-21,Abha,2024-03-21,0,2196.0,800.0,2996.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
149,2017,HYUNDAI,SONATA,2024-02-08,Abha,2024-03-21,0,0.0,2000.0,2000.0,42,Class 1,Class 2,Class 3,Class 1,Class 2
150,2023,HYUNDAI,Creta,2024-02-28,Abha,2024-03-24,0,18377.0,4000.0,22377.0,25,Class 1,Class 2,Class 3,Class 2,Class 2
151,2022,LEXUS,LX600,2024-03-24,Abha,2024-03-24,0,1987.0,1500.0,3487.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
152,2020,HYUNDAI,ACCENT,2024-03-25,Abha,2024-03-25,0,1005.0,600.0,1605.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
153,2021,MAZDA,6 High Plus,2024-03-26,Abha,2024-03-26,0,12280.0,5500.0,17780.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
154,2022,HYUNDAI,Creta,2024-03-26,Abha,2024-03-26,0,5062.0,2500.0,7562.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
155,2019,HYUNDAI,Genesis G80,2024-03-25,Abha,2024-03-26,0,6018.0,2500.0,8518.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
156,2023,TOYOTA,YARIS,2024-03-26,Abha,2024-03-26,0,822.0,2000.0,2822.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
157,2023,TOYOTA,YARIS,2024-03-26,Abha,2024-03-26,0,6084.0,3500.0,9584.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
158,2023,TOYOTA,RAV4,2024-03-03,Abha,2024-03-27,0,6303.0,3000.0,9303.0,24,Class 1,Class 2,Class 3,Class 2,Class 2
159,2020,TOYOTA,CAMRY,2023-07-17,Abha,2024-03-30,0,1716.0,2500.0,4216.0,257,Class 1,Class 2,Class 3,Class 2,Class 2
160,2019,TOYOTA,CAMRY,2024-04-01,Abha,2024-04-01,0,2950.0,1800.0,4750.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
161,2021,TOYOTA,INNOVA,2024-03-27,Abha,2024-04-02,0,4508.0,3000.0,7508.0,6,Class 1,Class 2,Class 2,Class 2,Class 2
162,2024,FORD,TAURUS,2024-04-01,Abha,2024-04-02,0,9799.0,6000.0,15799.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
163,2023,MITSUBISHI,PICKUP 1C,2023-09-14,Abha,2024-04-03,0,2750.0,3000.0,5750.0,202,Class 1,Class 2,Class 3,Class 2,Class 2
164,2021,HYUNDAI,AZERA,2024-04-04,Abha,2024-04-04,0,0.0,26107.0,26107.0,0,Class 1,Class 3,Class 1,Class 1,Class 2
165,2024,TOYOTA,CAMRY,2024-04-03,Abha,2024-04-04,0,5760.0,6500.0,12260.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
166,2018,DODGE,CHARGER,2024-04-03,Abha,2024-04-05,0,3820.0,300.0,4120.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
167,2020,MAZDA,CX 9,2024-04-05,Abha,2024-04-05,0,1795.0,1200.0,2995.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
168,2020,HYUNDAI,ELANTRA,2024-04-05,Abha,2024-04-05,0,4707.0,2000.0,6707.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
169,2023,KIA,SELTOS,2024-04-03,Abha,2024-04-05,0,1165.0,1700.0,2865.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
170,2022,HAVAL,H6,2024-04-04,Abha,2024-04-06,0,5960.0,1300.0,7260.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
171,2022,Changan,EADO,2024-04-04,Abha,2024-04-07,0,0.0,5000.0,5000.0,3,Class 1,Class 2,Class 2,Class 1,Class 2
